id,text,category,severity,sentiment,qr_type
FB-00014,"Transaksi QRIS berhasil diproses seketika di Kedai Mie Aceh, kasir mengecek terminal soundbox QRIS dan nominal uang masuk cocok dengan pesanan tanpa kendala.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00015,"Stiker QRIS statis di meja makan Toko Sembako Berkah mengelupas separuh dari akrilik mejanya, pembeli kesulitan saat mau scan.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00016,"QRIS fisik di booth bazar Barbershop Bro & Co jelas-jelas ditempeli stiker baru di atas akrilik resmi toko, terindikasi kuat pemalsuan barcode fisik.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00017,"Kasir ramah menunjukkan barcode QRIS di meja Es Teh Nusantara, nominal pembayaran saya input pas Rp75.000 tanpa biaya admin dan notifikasi uang masuk QRIS langsung berbunyi di soundbox kasir.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00018,"Tidak ada stiker palsu di akrilik Apotek Sehat Sejahtera, namun nama penerima digital yang tertera di layar ponsel saya beda jauh sama plang toko fisik.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00019,"Tidak ada stiker palsu di akrilik Warung Nasi Bu Imas, namun nama penerima digital yang tertera di layar ponsel saya beda jauh sama plang toko fisik.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00020,Tadi mbak kasir di Martabak Bangka 88 sempat mengucapkan sesuatu saat saya sedang memindai barcode QRIS di meja depan tetapi suaranya tidak terdengar jelas sehingga membuat saya bingung mengenai status pembayaran saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00021,"Proses pembayaran QRIS statis berlangsung sangat cepat tanpa kendala apapun di stand minuman Bakso Pak Kumis, struk dan bukti transfer digital QRIS tersimpan rapi di aplikasi BCA Mobile.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00022,"Di Bengkel Motor Jaya Bandung, stiker QRIS resmi di meja kasir ditutup stiker barcode lain oleh pihak tidak bertanggung jawab.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00023,"Plang fisik warung bertuliskan Masjid Al-Ikhlas, tapi saat scan barcode QRIS di kasir nama penerima yang muncul justru PT Bodong / rekening pribadi AGUS SETIAWAN.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00024,Saya tadi langsung menutup aplikasi setelah klik bayar QRIS di RM Padang Murah sehingga tidak sempat membaca pesan notifikasi yang sempat muncul sekilas di layar ponsel saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00025,"Tadi bayar pakai QRIS statis di etalase toko Kedai Mie Aceh, nama penerima di layar konfirmasi cocok dengan plang toko dan transaksi QRIS langsung terverifikasi hijau.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00026,Identitas merchant QRIS tidak cocok antara banner fisik toko Bengkel Motor Jaya dengan nama digital NMID saat konfirmasi bayar di HP.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00027,"Di Bakso Pak Kumis, harga belanjaan dinaikkan kalau bayar pakai QRIS statis, kasir membebankan potongan fee MDR QRIS kepada pembeli.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00028,"Kasir ramah menunjukkan barcode QRIS di meja Soto Ayam Lamongan Cak Har, nominal pembayaran saya input pas Rp10.000 tanpa biaya admin dan notifikasi uang masuk QRIS langsung berbunyi di soundbox kasir.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00029,"Stiker QRIS statis di meja makan Martabak Bangka 88 mengelupas separuh dari akrilik mejanya, pembeli kesulitan saat mau scan.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00030,Tadi mbak kasir di Barbershop Bro & Co sempat mengucapkan sesuatu saat saya sedang memindai barcode QRIS di meja depan tetapi suaranya tidak terdengar jelas sehingga membuat saya bingung mengenai status pembayaran saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00031,Apakah akun QRIS di Martabak Bangka 88 ini resmi? Barcode tokonya bersih tapi nama penerima saat discan pakai DANA bukan nama toko pemiliknya.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00032,"Stiker QRIS di Sate Madura Cak Sholeh Malang ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00033,"Di Bakso Pak Kumis, harga belanjaan dinaikkan kalau bayar pakai QRIS statis, kasir membebankan potongan fee MDR QRIS kepada pembeli.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00034,"Pembeli dipersulit saat mau bayar QRIS di Masjid Al-Ikhlas, kasir bilang barcode QRIS disimpan di laci dan menolak mengeluarkannya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00035,"Mohon bantuan pengecekan riwayat pembayaran QRIS terakhir saya di Sate Madura Cak Sholeh, tadi koneksi internet sempat tersendat saat menekan tombol bayar sehingga saya ragu statusnya.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00036,"Proses pembayaran QRIS statis berlangsung sangat cepat tanpa kendala apapun di counter pembayaran Soto Ayam Lamongan Cak Har, struk dan bukti transfer digital QRIS tersimpan rapi di aplikasi Livin by Mandiri.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00037,"Kasir tidak kooperatif saat proses scan QRIS di meja kasir Bengkel Motor Jaya, pembeli disuruh menunggu lama dan diabaikan pelayanannya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00038,"Kasir toko Warung Nasi Bu Imas enggan melayani scan QRIS dan beralasan kasir lagi malas mengecek HP, pembeli dipaksa bayar cash.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00039,"Pas saya raba akrilik barcode di warung makan Warung Nasi Bu Imas, permukaannya terasa ada stiker tempelan baru yang sengaja menutupi QR code resmi toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00040,"Transaksi QRIS berhasil diproses seketika di Soto Ayam Lamongan Cak Har, kasir mengecek terminal soundbox QRIS dan nominal uang masuk cocok dengan pesanan tanpa kendala.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00041,"Kasir ramah menunjukkan barcode QRIS di meja Apotek Sehat Sejahtera, nominal pembayaran saya input pas Rp10.000 tanpa biaya admin dan notifikasi uang masuk QRIS langsung berbunyi di soundbox kasir.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00042,"Pelayanan kasir di Sate Madura Cak Sholeh sangat mengecewakan, kasir menolak pembayaran QRIS secara sepihak dengan alasan minimal belanja harus Rp30.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00043,"Barcode QRIS statis di kasir Kopi Kenangan Senja kusam dan pudar terkena terik matahari, autofocus kamera aplikasi DANA gagal memindai.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00044,"Plang fisik warung bertuliskan Laundry Kilat 99, tapi saat scan barcode QRIS di kasir nama penerima yang muncul justru PT Bodong / KASIH AMAL PALSU.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00045,"Plang fisik warung bertuliskan Bengkel Motor Jaya, tapi saat scan barcode QRIS di kasir nama penerima yang muncul justru PT Bodong / rekening pribadi AGUS SETIAWAN.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00046,"Pas saya raba akrilik barcode di meja barcode Masjid Al-Ikhlas, permukaannya terasa ada stiker tempelan baru yang sengaja menutupi QR code resmi toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00047,"Tadi bayar pakai QRIS statis di akrilik meja Toko Sembako Berkah, nama penerima di layar konfirmasi cocok dengan plang toko dan transaksi QRIS langsung terverifikasi hijau.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00048,"Stiker QRIS di Kedai Mie Aceh Malang ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00049,"Kasir di RM Padang Murah mengenakan biaya tambahan admin Rp1.000 saat bayar pakai QRIS statis, padahal aturan Bank Indonesia melarang keras surcharge QRIS.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00050,Akrilik meja tempat barcode QRIS di Martabak Bangka 88 banyak goresan lecet parah sampai pola matriks QRIS-nya hilang sebagian.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00051,"Pelayanan kasir di Apotek Sehat Sejahtera sangat mengecewakan, kasir menolak pembayaran QRIS secara sepihak dengan alasan minimal belanja harus Rp30.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00052,"Kasir di Masjid Al-Ikhlas mengenakan biaya tambahan admin Rp1.000 saat bayar pakai QRIS statis, padahal aturan Bank Indonesia melarang keras surcharge QRIS.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00053,"Kayaknya tadi ada satu hal yang tidak biasa saat saya hendak membayar belanjaan menggunakan QRIS di Ayam Geprek Juara, namun saya tidak begitu memperhatikan secara detail sehingga saya ragu.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00054,"Pas saya raba akrilik barcode di booth bazar RM Padang Murah, permukaannya terasa ada stiker tempelan baru yang sengaja menutupi QR code resmi toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00055,Penjual di Es Teh Nusantara meminta saya melebihkan uang saat input nominal QRIS dengan alasan biaya administrasi jika bayar nontunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00056,"Kasir toko RM Padang Murah enggan melayani scan QRIS dan beralasan kasir lagi malas mengecek HP, pembeli dipaksa bayar cash.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00057,"Stiker barcode QRIS di meja kasir Counter Pulsa Cell tampak asli dan bersih, tetapi saat saya scan nama merchant di aplikasi OVO muncul nama perorangan rekening pribadi HENDRA.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00058,Merchant Barbershop Bro & Co di Surabaya menolak menerima transaksi QRIS dari aplikasi dompet digital tertentu secara sepihak tanpa alasan yang jelas.,KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00059,"Ada tambahan biaya seribu rupiah dari harga aslinya saat transaksi menggunakan QRIS di Ayam Geprek Juara, kasir bilang untuk biaya admin QRIS.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00060,"Saya menemukan stiker QRIS tempelan penipu di counter pembayaran Soto Ayam Lamongan Cak Har, ujung stikernya terkelupas dan di bawahnya masih ada barcode aslinya.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00061,"Ada tambahan biaya seribu rupiah dari harga aslinya saat transaksi menggunakan QRIS di RM Padang Murah, kasir bilang untuk biaya admin QRIS.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00062,"Kasir di toko Laundry Kilat 99 bersikap sangat judes dan ketus ketika saya bilang mau bayar pakai QRIS, kasir memaksa pembeli harus bayar uang tunai saja.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00063,Kasir di gerai Warung Nasi Bu Imas menahan barang belanjaan dengan sikap mencurigai pembeli secara tidak sopan padahal bukti transaksi sukses sudah saya perlihatkan.,KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00064,"Pelayanan kasir di Bengkel Motor Jaya sangat mengecewakan, kasir menolak pembayaran QRIS secara sepihak dengan alasan minimal belanja harus Rp30.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00065,Tadi mbak kasir di Masjid Al-Ikhlas sempat mengucapkan sesuatu saat saya sedang memindai barcode QRIS di meja depan tetapi suaranya tidak terdengar jelas sehingga membuat saya bingung mengenai status pembayaran saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00066,"Pelayanan kasir sangat buruk, malah memarahi pelanggan yang tidak membawa uang tunai saat mau bayar lewat QRIS.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00067,"Saya bayar pakai QRIS barusan di minimarket Bakso Pak Kumis tapi kok perasaan saya kurang enak ya, apakah transaksi QRIS saya tadi sudah benar-benar sah?",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00068,Saya batalkan bayar QRIS di Kopi Kenangan Senja karena nama rekening tujuan pada QRIS resminya mencurigakan atas nama rekening pribadi rekening pribadi AGUS SETIAWAN.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00069,"Tadi bayar pakai QRIS statis di plang kasir Bakso Pak Kumis, nama penerima di layar konfirmasi cocok dengan plang toko dan transaksi QRIS langsung terverifikasi hijau.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00070,"Ada sedikit hal yang terasa tidak biasa waktu saya mencoba melakukan pembayaran QRIS di meja barcode Barbershop Bro & Co tadi siang, tampilannya agak berbeda dari biasanya dan saya ingin memastikan keamanannya.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00071,"Stiker QRIS di Apotek Sehat Sejahtera Semarang ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00072,"Pas saya raba akrilik barcode di stand minuman Laundry Kilat 99, permukaannya terasa ada stiker tempelan baru yang sengaja menutupi QR code resmi toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00073,"Cek mutasi setelah transaksi QRIS di Ayam Geprek Juara, nominal pembayaran pas dengan yang saya ketik, tidak ada biaya potongan dan pembayaran QRIS selesai aman sentosa.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00074,"Nominal belanjaan Rp75.000 saya bayar dengan scan barcode QRIS di kasir Barbershop Bro & Co, semua detail informasi pembayaran QRIS cocok dan kasir langsung menyerahkan nota lunas.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00075,"QRIS fisik di meja kasir Kedai Mie Aceh jelas-jelas ditempeli stiker baru di atas akrilik resmi toko, terindikasi kuat pemalsuan barcode fisik.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00076,Stiker QRIS fisik toko Soto Ayam Lamongan Cak Har sudah buram dan terkelupas di sudut bawah sehingga scanner aplikasi selalu gagal deteksi.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00077,"Saya membeli makanan di warung makan Masjid Al-Ikhlas dan membayar menggunakan QRIS seperti biasanya, nominal yang harus dibayar pas sesuai harga, transaksi berhasil dalam beberapa detik dan bukti pembayaran QRIS langsung muncul di aplikasi.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00078,Hati-hati stiker barcode QRIS fisik di plang kasir Ayam Geprek Juara Semarang sengaja ditimpa stiker tempelan palsu lain oleh oknum penipu!,PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00079,Apakah akun QRIS di Soto Ayam Lamongan Cak Har ini resmi? Barcode tokonya bersih tapi nama penerima saat discan pakai DANA bukan nama toko pemiliknya.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00080,"Resolusi cetakan stiker QRIS di kasir RM Padang Murah pecah dan buram, scanner HP tidak mampu mengunci titik fokus kode QR.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00081,Penjual di Soto Ayam Lamongan Cak Har meminta saya melebihkan uang saat input nominal QRIS dengan alasan biaya administrasi jika bayar nontunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
FB-00082,Identitas merchant QRIS tidak cocok antara banner fisik toko Masjid Al-Ikhlas dengan nama digital NMID saat konfirmasi bayar di HP.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00083,"Tolong dicek min, stiker QR code di akrilik meja Kedai Mie Aceh ada dua lapisan bertumpuk di mana barcode atas adalah stiker palsu.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00084,Apakah akun QRIS di Kopi Kenangan Senja ini resmi? Barcode tokonya bersih tapi nama penerima saat discan pakai BCA Mobile bukan nama toko pemiliknya.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00085,Apakah akun QRIS di Bengkel Motor Jaya ini resmi? Barcode tokonya bersih tapi nama penerima saat discan pakai GoPay bukan nama toko pemiliknya.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00086,"Lokasi toko fisik jelas Martabak Bangka 88 di Surabaya, tapi saat scan QRIS resmi toko nama tujuan transfer terdaftar atas nama rekening pribadi AGUS SETIAWAN di luar daerah.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00087,"Mohon bantuan pengecekan riwayat pembayaran QRIS terakhir saya di Kedai Mie Aceh, tadi koneksi internet sempat tersendat saat menekan tombol bayar sehingga saya ragu statusnya.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00088,"Kasir tidak kooperatif saat proses scan QRIS di meja kasir Apotek Sehat Sejahtera, pembeli disuruh menunggu lama dan diabaikan pelayanannya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00089,"Pelayanan kasir di Minimarket Barokah sangat mengecewakan, kasir menolak pembayaran QRIS secara sepihak dengan alasan minimal belanja harus Rp30.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM,NEGATIVE,STATIC
FB-00090,"Struk pembayaran QRIS resmi otomatis terbit di aplikasi GoPay, nominal yang didebet pas Rp50.000 tidak ada pungutan biaya admin QRIS tambahan.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00091,Tadi mbak kasir di Laundry Kilat 99 sempat mengucapkan sesuatu saat saya sedang memindai barcode QRIS di meja depan tetapi suaranya tidak terdengar jelas sehingga membuat saya bingung mengenai status pembayaran saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00092,Apakah akun QRIS di Toko Sembako Berkah ini resmi? Barcode tokonya bersih tapi nama penerima saat discan pakai DANA bukan nama toko pemiliknya.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00093,"Saya tadi bayar belanjaan pakai barcode QRIS tapi lupa melihat detail layarnya karena terburu-buru pergi, tolong bantu verifikasi apakah transaksi saya aman.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00094,"Stiker QRIS di Martabak Bangka 88 Medan ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00095,Saya tadi langsung menutup aplikasi setelah klik bayar QRIS di Laundry Kilat 99 sehingga tidak sempat membaca pesan notifikasi yang sempat muncul sekilas di layar ponsel saya.,FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00096,"Saya menemukan stiker QRIS tempelan penipu di plang kasir Soto Ayam Lamongan Cak Har, ujung stikernya terkelupas dan di bawahnya masih ada barcode aslinya.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00097,"Tadi bayar pakai QRIS statis di stiker dinding Minimarket Barokah, nama penerima di layar konfirmasi cocok dengan plang toko dan transaksi QRIS langsung terverifikasi hijau.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00098,"Lokasi toko fisik jelas Bengkel Motor Jaya di Tangerang, tapi saat scan QRIS resmi toko nama tujuan transfer terdaftar atas nama DEWI SARTIKA PRIVATE di luar daerah.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH,NEGATIVE,STATIC
FB-00099,"Pas saya raba akrilik barcode di tent card meja Kopi Kenangan Senja, permukaannya terasa ada stiker tempelan baru yang sengaja menutupi QR code resmi toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00100,"Proses pembayaran QRIS statis berlangsung sangat cepat tanpa kendala apapun di warung makan Warung Nasi Bu Imas, struk dan bukti transfer digital QRIS tersimpan rapi di aplikasi Livin by Mandiri.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00101,"QRIS fisik di tent card meja Apotek Sehat Sejahtera jelas-jelas ditempeli stiker baru di atas akrilik resmi toko, terindikasi kuat pemalsuan barcode fisik.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00102,"Saya menemukan stiker QRIS tempelan penipu di akrilik meja Apotek Sehat Sejahtera, ujung stikernya terkelupas dan di bawahnya masih ada barcode aslinya.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00103,"Mohon bantuan pengecekan riwayat pembayaran QRIS terakhir saya di Kedai Mie Aceh, tadi koneksi internet sempat tersendat saat menekan tombol bayar sehingga saya ragu statusnya.",FEEDBACK_AMBIGU,MEDIUM,NEUTRAL,STATIC
FB-00104,"Di Sate Madura Cak Sholeh Semarang, stiker QRIS resmi di meja kasir ditutup stiker barcode lain oleh pihak tidak bertanggung jawab.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00105,"Saya menemukan stiker QRIS tempelan penipu di kotak amal masjid Martabak Bangka 88, ujung stikernya terkelupas dan di bawahnya masih ada barcode aslinya.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL,NEGATIVE,STATIC
FB-00106,"Stiker QRIS statis di pintu masuk toko Counter Pulsa Cell mengelupas separuh dari akrilik mejanya, pembeli kesulitan saat mau scan.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM,NEGATIVE,STATIC
FB-00107,"Struk pembayaran QRIS resmi otomatis terbit di aplikasi ShopeePay, nominal yang didebet pas Rp35.000 tidak ada pungutan biaya admin QRIS tambahan.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00108,"Tadi bayar pakai QRIS statis di kaca kasir Toko Sembako Berkah, nama penerima di layar konfirmasi cocok dengan plang toko dan transaksi QRIS langsung terverifikasi hijau.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW,POSITIVE,STATIC
FB-00109,"Pungutan biaya tambahan tidak resmi oleh kasir Sate Madura Cak Sholeh saat transaksi QRIS manual, ada mark up harga dari struk belanja.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH,NEGATIVE,STATIC
