text,category,severity
"Barcode QRIS fisik di meja barcode Bakso Pak Kumis mulus tanpa tempelan ganda, tapi tujuan transfer di BCA Mobile bukan ke rekening resmi toko melainkan RUDI HARTONO REK.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
Kasir di Kedai Mie Aceh Jakarta menolak pembayaran QRIS saya dengan alasan sinyal toko sedang gangguan dan memaksa harus bayar uang tunai pas.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Tolong diganti stiker QRIS di Ayam Geprek Juara Tangerang, warnanya sudah luntur dan pudar total terkena panas matahari sehingga barcode tidak terdeteksi.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya cek teliti akrilik QRIS di Es Teh Nusantara semuanya bersih, cuma nama merchant yang tertera di aplikasi e-wallet beda dengan nama toko tempat saya beli.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Akrilik stand QRIS di Barbershop Bro & Co pecah dan buram terkena debu tebal bertahun-tahun, kasir harus mencetak ulang kode barcode yang jelas.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya tadi langsung menutup aplikasi perbankan saya setelah klik konfirmasi bayar di Laundry Kilat 99 sehingga tidak sempat membaca pesan notifikasi yang sempat muncul sekilas di layar ponsel saya, apakah transaksi tersebut sudah beres?",FEEDBACK_AMBIGU,MEDIUM
"Penolakan sepihak transaksi QRIS di Soto Ayam Lamongan Cak Har, kasir bersikeras hanya menerima uang cash fisik dengan nada ketus.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Tidak ada stiker palsu di akrilik Toko Sembako Berkah, namun nama penerima digital yang tertera di layar ponsel saya beda jauh sama plang toko fisik.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Toko Laundry Kilat 99 menetapkan aturan sepihak minimal belanja Rp 50.000 baru boleh bayar pakai QRIS, padahal saya belanja 50.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Entah kenapa transaksi pembayaran yang baru saja saya lakukan di Es Teh Nusantara Tangerang terasa agak aneh dan membingungkan ketika selesai diproses, sehingga saya merasa ragu dan ingin meminta tolong pihak tim LaQris untuk membantu memeriksa status akun saya.",FEEDBACK_AMBIGU,MEDIUM
"Barcode QRIS fisik di meja kasir Bengkel Motor Jaya tergores benda tajam sangat parah, kamera HP berkali-kali mencoba selalu gagal baca kodenya.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
Saya keberatan karena belanja di Es Teh Nusantara kena cas tambahan Rp 1.000 gara-gara bayar pakai QRIS bukannya uang tunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Kasir di Toko Sembako Berkah memungut biaya surcharge Rp 1.000 tanpa persetujuan untuk setiap pembayaran QR code.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Beli barang di Laundry Wangi Bersih bayar non-tunai via QRIS. Pas dicek di konfirmasi transaksi, nama penerimanya benar terdaftar atas nama merchant tersebut.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Kasir di kasir Counter Pulsa Cell sangat lambat dan tidak paham cara konfirmasi transaksi QRIS sampai saya harus menunggu 15 menit di antrean.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
Permukaan stiker QRIS di stiker dinding Soto Ayam Lamongan Cak Har kotor kena tumpahan minyak dan noda hitam tebal sampai tidak bisa dipindai sama sekali.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
Kasir Martabak Bangka 88 menyembunyikan plang barcode QRIS di bawah meja dan enggan melayani pelanggan yang ingin membayar non-tunai.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Semua berjalan sempurna saat bayar QRIS di Soto Ayam Lamongan Cak Har, akrilik barcode mulus, tidak ada kejanggalan, kasir melayani dengan sangat baik.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Saya dipaksa kasir Counter Pulsa Cell bayar lebih Rp 1.000 dari total belanjaan karena menggunakan pembayaran QR code di meja kasir.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Barcode QRIS fisik di counter pembayaran Laundry Kilat 99 mulus tanpa tempelan ganda, tapi tujuan transfer di ShopeePay bukan ke rekening resmi toko melainkan GOPAY TOPUP PENIPU.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Waspada modus penempelan stiker palsu di kaca kasir Warung Nasi Bu Imas, kode QR asli toko sudah dilapisi stiker barcode cetakan luar.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Setelah transaksi QRIS berhasil, saya cek notifikasi dan struk digital di perbankan saya. Nama penerima dana justru tidak cocok dan memunculkan nama pribadi asing.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Toko RM Padang Murah menempel plang 'QRIS Rusak' padahal kasirnya malas mengecek saldo masuk, pelayanan kasirnya sangat buruk.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Stiker barcode QRIS di meja kasir Bengkel Motor Jaya tampak asli dan bersih, tetapi saat saya scan nama merchant di aplikasi OVO muncul nama perorangan JOKO PRIBADI REK.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Sangat puas bayar non-tunai di Warung Nasi Bu Imas, scan barcode QRIS langsung terbaca dalam 1 detik via GoPay tanpa kendala dan tanpa biaya tambahan.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Kondisi fisik QRIS di Minimarket Barokah sangat rapi dan otentik, tapi data NMID dan nama merchant di aplikasi bank tidak cocok dengan nama usaha tempat belanja.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Kasir di Barbershop Bro & Co Semarang mengenakan biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 35.000 pakai QRIS, padahal BI melarang surcharge!",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Plang barcode QRIS di pintu masuk toko Es Teh Nusantara sudah rusak mengelupas dan basah kuyup terkena hujan sampai kertas stikernya hancur.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Tadi saya bayar pakai QRIS di Kopi Kenangan Senja. Pembayaran sukses, lalu saat mengecek rincian transaksi di aplikasi, nama merchant yang tercantum memang resmi atas nama gerai tersebut.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Tolong diganti stiker QRIS di Es Teh Nusantara Yogyakarta, warnanya sudah luntur dan pudar total terkena panas matahari sehingga barcode tidak terdeteksi.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Tidak ada stiker palsu di akrilik Es Teh Nusantara, namun nama penerima digital yang tertera di layar ponsel saya beda jauh sama plang toko fisik.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Pengalaman pembayaran QRIS di meja makan Kedai Mie Aceh luar biasa aman dan nyaman, struk langsung tercetak dan nominal pembayaran tepat 75.000.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Plang barcode QRIS di kotak amal masjid Martabak Bangka 88 sudah rusak mengelupas dan basah kuyup terkena hujan sampai kertas stikernya hancur.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Pelayanan di Martabak Bangka 88 sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
Hati-hati stiker barcode QRIS fisik di counter pembayaran Es Teh Nusantara Bandung sengaja ditimpa stiker tempelan palsu lain oleh oknum penipu!,PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Sebelum menekan tombol konfirmasi pembayaran QRIS di toko pakaian, saya memeriksa nama penerima di layar aplikasi. Hasil pengecekan menunjukkan nama penerima justru tertera nama merchant lain yang sama sekali berbeda, dan transaksi berhasil diproses.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Tolong dicek min, stiker QR code di akrilik meja Ayam Geprek Juara ada dua lapisan bertumpuk di mana barcode atas adalah stiker palsu.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Setelah transaksi QRIS berhasil, saya cek notifikasi dan struk digital di perbankan saya. Nama penerima dana sesuai dengan nama usaha yang tertera di kasir.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Di Barbershop Bro & Co kasirnya judes banget dan pasang muka masam saat saya bilang mau bayar pakai QRIS di meja kasir.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Di kasir Soto Ayam Lamongan Cak Har Medan ada tulisan bayar QRIS kena biaya tambahan Rp 1.000 per transaksi, kasirnya bilang itu fee admin dari toko.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Saya mau bayar 25.000 pakai QRIS di Masjid Al-Ikhlas tapi kasir bilang QRIS hanya untuk belanja di atas Rp 30.000, sangat mengecewakan.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Stiker QRIS di Es Teh Nusantara Semarang ini palsu bro, ada stiker tipis yang sengaja dipasang menutupi barcode resmi kasir toko.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
Plang barcode QRIS di meja kasir Kedai Mie Aceh sudah rusak mengelupas dan basah kuyup terkena hujan sampai kertas stikernya hancur.,KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya mau bayar 75.000 pakai QRIS di Masjid Al-Ikhlas tapi kasir bilang QRIS hanya untuk belanja di atas Rp 30.000, sangat mengecewakan.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Demi keamanan sebelum bayar QRIS, saya memastikan identitas penerima terlebih dahulu. Nama yang terdaftar pada sistem sama persis dengan nama toko tempat saya berbelanja.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Saya keberatan karena belanja di RM Padang Murah kena cas tambahan Rp 1.000 gara-gara bayar pakai QRIS bukannya uang tunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Kondisi fisik QRIS di Warung Nasi Bu Imas sangat rapi dan otentik, tapi data NMID dan nama merchant di aplikasi bank tidak cocok dengan nama usaha tempat belanja.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Pelayanan di Bakso Pak Kumis sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Stiker barcode QRIS di meja kasir Toko Sembako Berkah tampak asli dan bersih, tetapi saat saya scan nama merchant di aplikasi Livin by Mandiri muncul nama perorangan rekening DANA 0812988xxx.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Barcode QRIS fisik di meja kasir Barbershop Bro & Co tergores benda tajam sangat parah, kamera HP berkali-kali mencoba selalu gagal baca kodenya.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya kurang mengerti alur pembayaran QRIS di toko Kopi Kenangan Senja ini, kasirnya sibuk melayani pembeli lain jadi saya tidak sempat bertanya lebih lanjut dan langsung pergi dengan rasa ragu.",FEEDBACK_AMBIGU,MEDIUM
"Saya scan QRIS asli toko di Apotek Sehat Sejahtera, pas masuk halaman konfirmasi GoPay nama pemilik merchant yang keluar adalah nama pribadi asing rekening pribadi AGUS SETIAWAN.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
Di Apotek Sehat Sejahtera kasirnya judes banget dan pasang muka masam saat saya bilang mau bayar pakai QRIS di meja kasir.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Transaksi QRIS di Sate Madura Cak Sholeh Bandung sangat cepat dan lancar, kasir ramah, barcode di akrilik bersih mulus, dan nominal 75.000 terdebet pas.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Nama merchant yang muncul di aplikasi setelah scan QRIS cocok dan identik dengan plang nama toko di depan saya.,QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Kasir di Warung Nasi Bu Imas Semarang mengenakan biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 35.000 pakai QRIS, padahal BI melarang surcharge!",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Barcode QRIS fisik di meja kasir Warung Nasi Bu Imas tergores benda tajam sangat parah, kamera HP berkali-kali mencoba selalu gagal baca kodenya.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Nominal belanja sudah pas dan saya cek nama merchant di aplikasi pembayaran. Nama penerima justru tertera nama merchant lain yang sama sekali berbeda, dan pembayaran selesai lancar.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Toko Sate Madura Cak Sholeh menetapkan aturan sepihak minimal belanja Rp 50.000 baru boleh bayar pakai QRIS, padahal saya belanja 50.000.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
Kasir di Apotek Sehat Sejahtera Yogyakarta memaksa saya membayar biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 25.000 pakai QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Saya dipaksa bayar fee admin tambahan Rp 1.500 oleh kasir Apotek Sehat Sejahtera khusus untuk pembayaran scan QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"QRIS fisik di pintu masuk toko Sate Madura Cak Sholeh dalam kondisi baik, namun ada perbedaan nama penerima di mana sistem menampilkan KASIH AMAL PALSU bukannya nama toko resmi.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Nominal belanja sudah pas dan saya cek nama merchant di aplikasi pembayaran. Nama penerima sama sekali tidak sesuai dengan nama tempat usaha yang saya datangi, dan pembayaran selesai lancar.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Tolong diganti stiker QRIS di Soto Ayam Lamongan Cak Har Bekasi, warnanya sudah luntur dan pudar total terkena panas matahari sehingga barcode tidak terdeteksi.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Saya cek teliti akrilik QRIS di Counter Pulsa Cell semuanya bersih, cuma nama merchant yang tertera di aplikasi e-wallet beda dengan nama toko tempat saya beli.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Proses checkout pakai QRIS di Martabak Bangka 88 Medan memuaskan, scan cepat, tidak ada biaya tersembunyi, dan bukti transaksi langsung masuk ke e-wallet.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
Kasir memarahi saya dan menuntut cas tambahan fee admin Rp 1.500 jika ingin melunasi tagihan 10.000 lewat scan barcode QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Saya scan QRIS asli toko di Es Teh Nusantara, pas masuk halaman konfirmasi BRImo nama pemilik merchant yang keluar adalah nama pribadi asing PENGUNDIAN RESMI ABAL.",KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Akrilik stand QRIS di Laundry Kilat 99 pecah dan buram terkena debu tebal bertahun-tahun, kasir harus mencetak ulang kode barcode yang jelas.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
Kasir di Warung Nasi Bu Imas Medan memaksa saya membayar biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 35.000 pakai QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Lapor min, Transaksi tadi terasa mencurigakan. tolong ditanggapi.",FEEDBACK_AMBIGU,MEDIUM
"Pelayanan di Bengkel Motor Jaya sangat mengecewakan, kasirnya marah-marah saat disuruh cek notifikasi pembayaran QRIS yang sudah sukses di HP saya.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
Kenapa bisa begitu ya min? mohon infonya.,FEEDBACK_AMBIGU,MEDIUM
Kasir Es Teh Nusantara menyembunyikan plang barcode QRIS di bawah meja dan enggan melayani pelanggan yang ingin membayar non-tunai.,KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Kak, Kayaknya ada yang salah tapi saya gak tahu apa.",FEEDBACK_AMBIGU,MEDIUM
"Permisi, Kayaknya ada yang salah tapi saya gak tahu apa. tolong dicek.",FEEDBACK_AMBIGU,MEDIUM
"Waspada modus penempelan stiker palsu di kedai kopi Warung Nasi Bu Imas, kode QR asli toko sudah dilapisi stiker barcode cetakan luar.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Saya mau bayar 50.000 pakai QRIS di RM Padang Murah tapi kasir bilang QRIS hanya untuk belanja di atas Rp 30.000, sangat mengecewakan.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Kondisi fisik QRIS di stand minuman Martabak Bangka 88 sangat memprihatinkan, tintanya luntur kecokelatan dan sudut stikernya koyak sobek.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
"Parah banget di Sate Madura Cak Sholeh, belanja 350.000 kalau bayar tunai harganya normal tapi kalau scan QRIS kasir naikin harga dan minta tambahan Rp 2.000.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Pelayanan kasir di Masjid Al-Ikhlas arogan sekali dan memaksa pembeli nambah uang tunai Rp 2.000 dengan alasan biaya potong saldo QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Saya curiga barcode QRIS di kasir Bengkel Motor Jaya adalah tempelan palsu karena stiker aslinya tertutup stiker baru yang miring.,PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
Kasir memarahi saya dan menuntut cas tambahan fee admin Rp 1.500 jika ingin melunasi tagihan 35.000 lewat scan barcode QRIS.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
Saya keberatan karena belanja di Es Teh Nusantara kena cas tambahan Rp 1.000 gara-gara bayar pakai QRIS bukannya uang tunai.,PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Ada stiker QRIS ganda mencurigakan di etalase kasir Warung Nasi Bu Imas, barcode asli milik kasir ditutup dengan stiker penipu.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Kasir di Bengkel Motor Jaya Bekasi mengenakan biaya tambahan surcharge Rp 1.000 saat saya bayar tagihan 15.000 pakai QRIS, padahal BI melarang surcharge!",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"QRIS fisik di kaca kasir Kopi Kenangan Senja jelas-jelas ditempeli stiker baru di atas akrilik resmi toko, terindikasi kuat pemalsuan barcode fisik.",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Pengalaman pembayaran QRIS di meja kasir RM Padang Murah luar biasa aman dan nyaman, struk langsung tercetak dan nominal pembayaran tepat 15.000.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Barcode QRIS fisik di meja kasir Soto Ayam Lamongan Cak Har tergores benda tajam sangat parah, kamera HP berkali-kali mencoba selalu gagal baca kodenya.",KONDISI_FISIK_QRIS_RUSAK,MEDIUM
Saya memeriksa detail informasi QRIS termasuk NMID dan nama merchant sebelum transfer. Informasi yang tampil di layar HP justru tidak cocok dan memunculkan nama pribadi asing.,KETIDAKSESUAIAN_IDENTITAS_MERCHANT,HIGH
"Penolakan sepihak transaksi QRIS di Toko Sembako Berkah, kasir bersikeras hanya menerima uang cash fisik dengan nada ketus.",KUALITAS_LAYANAN_MERCHANT,MEDIUM
"Jangan scan QRIS di counter pembayaran Masjid Al-Ikhlas, itu barcode QRIS palsu sengaja ditimpa stiker penipu untuk mengalihkan transaksi pelanggan!",PENIPUAN_STIKER_QRIS_PALSU,CRITICAL
"Permisi, Kemarin belanja di kasir rasanya aneh banget. tolong dicek.",FEEDBACK_AMBIGU,MEDIUM
"Pelayanan di Martabak Bangka 88 jempolan, pembayaran non-tunai QRIS nominal 500.000 berhasil diproses tanpa masalah apapun.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Pelayanan di Kopi Kenangan Senja jempolan, pembayaran non-tunai QRIS nominal 150.000 berhasil diproses tanpa masalah apapun.",QRIS_NORMAL_MERCHANT_TERPERCAYA,LOW
"Beli barang di Kedai Mie Aceh harganya 35.000, tapi kalau bayar pakai barcode QRIS disuruh nambah Rp 2.000 sama kasirnya, ini pungutan liar.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
"Pungutan liar di kasir Soto Ayam Lamongan Cak Har, harga belanja 15.000 dinaikkan jadi lebih mahal kalau bayar pakai scan barcode QRIS.",PUNGUTAN_BIAYA_TAMBAHAN_SURCHARGE,HIGH
